transaction_id,order_id,gateway,gross_amount,fee,net_amount,settlement_date,payout_id,status,notes
TXN-20260601-001,ORD-1001,stripe,29.99,1.05,28.94,2026-06-01,POUT-001,settled,
TXN-20260601-002,ORD-1002,stripe,45.00,1.58,43.42,2026-06-01,POUT-001,settled,
TXN-20260601-003,ORD-1003,paypal,15.50,0.95,14.55,2026-06-01,POUT-001,settled,
TXN-20260602-004,ORD-1004,stripe,89.99,3.15,86.84,2026-06-02,POUT-002,settled,
TXN-20260602-005,ORD-1005,stripe,12.00,0.42,11.58,2026-06-02,,pending,gateway timeout on capture
TXN-20260602-006,ORD-1006,paypal,34.20,1.49,32.71,2026-06-02,POUT-002,settled,
TXN-20260603-007,ORD-1007,stripe,55.00,1.93,53.07,2026-06-03,POUT-003,settled,
TXN-20260603-008,ORD-1008,stripe,22.50,0.79,21.71,2026-06-03,POUT-003,settled,
TXN-20260603-009,ORD-1009,paypal,78.00,2.80,75.20,2026-06-04,POUT-003,settled,
TXN-20260604-010,ORD-1010,stripe,150.00,5.25,144.75,2026-06-04,POUT-004,settled,
TXN-20260604-011,ORD-1011,stripe,42.00,1.47,40.53,2026-06-04,POUT-004,settled,
TXN-20260605-012,ORD-1012,paypal,23.99,1.19,22.80,2026-06-05,POUT-004,settled,
TXN-20260605-013,ORD-1013,stripe,67.50,2.36,65.14,2026-06-05,POUT-005,settled,
TXN-20260605-014,ORD-1014,stripe,18.00,0.63,17.37,2026-06-05,POUT-005,settled,
TXN-20260606-015,ORD-1015,paypal,95.00,3.40,91.60,2026-06-06,POUT-005,settled,
TXN-20260606-016,ORD-1016,stripe,33.99,1.19,32.80,2026-06-06,POUT-006,settled,
TXN-20260607-017,ORD-1017,stripe,210.00,7.35,202.65,2026-06-07,,pending,amount mismatch - ledger shows 210.00 gateway shows 210.00
TXN-20260607-018,ORD-1018,stripe,44.50,1.56,42.94,2026-06-07,POUT-006,settled,
TXN-20260607-019,ORD-1019,paypal,11.00,0.78,10.22,2026-06-07,POUT-006,settled,
TXN-20260608-020,ORD-1020,stripe,76.00,2.66,73.34,2026-06-08,POUT-007,settled,
TXN-20260608-021,ORD-1021,stripe,38.99,1.36,37.63,2026-06-08,POUT-007,settled,
TXN-20260609-022,ORD-1022,paypal,52.00,1.96,50.04,2026-06-09,POUT-007,settled,
TXN-20260609-023,ORD-1023,stripe,27.00,0.95,26.05,2026-06-09,POUT-008,settled,
TXN-20260610-024,ORD-1024,stripe,185.00,6.48,178.52,2026-06-10,POUT-008,settled,
TXN-20260610-025,ORD-1025,paypal,41.50,1.68,39.82,2026-06-10,POUT-008,settled,
TXN-20260611-026,ORD-1026,stripe,63.00,2.21,60.79,2026-06-11,POUT-009,settled,
TXN-20260611-027,ORD-1027,stripe,19.99,0.70,19.29,2026-06-11,POUT-009,settled,
TXN-20260612-028,ORD-1028,paypal,88.00,3.12,84.88,2026-06-12,POUT-009,settled,
TXN-20260613-029,ORD-1029,stripe,31.50,1.10,30.40,2026-06-13,POUT-010,settled,
TXN-20260613-030,ORD-1030,stripe,47.00,1.65,45.35,2026-06-13,POUT-010,settled,
TXN-20260614-031,ORD-1031,paypal,26.99,1.29,25.70,2026-06-14,,refunded,customer disputed charge
TXN-20260615-032,ORD-1032,stripe,14.50,0.51,13.99,2026-06-15,POUT-010,settled,
TXN-20260615-033,ORD-1033,stripe,102.00,3.57,98.43,2026-06-15,POUT-011,settled,
TXN-20260616-034,ORD-1034,paypal,39.99,1.59,38.40,2026-06-16,POUT-011,settled,
TXN-20260617-035,ORD-1035,stripe,72.50,2.54,69.96,2026-06-17,POUT-011,settled,
TXN-20260617-036,ORD-1036,stripe,28.00,0.98,27.02,2026-06-17,,pending,voided - order cancelled before fulfillment
