date,order_id,channel,sku,product_name,gross_sales,net_sales,shipping,fees,currency
2026-06-01,ORD-1001,google_shopping,GADG-010,Gadget Pro,129.99,108.15,12.50,9.34,USD
2026-06-01,ORD-1002,organic,WIDG-001,Widget Small 4in,45.00,36.25,5.00,3.75,USD
2026-06-01,ORD-1003,meta_newsfeed,SPRK-005,Spark Plug Set,78.50,62.80,8.00,7.70,USD
2026-06-01,ORD-1004,direct,GADG-020,Gadget Lite,199.99,172.99,15.00,12.00,USD
2026-06-02,ORD-1005,google_shopping,WIDG-002,Widget Large 8in,89.50,72.15,9.00,8.35,USD
2026-06-02,ORD-1006,email,SPRK-005,Spark Plug Set,78.50,65.30,8.00,5.20,USD
2026-06-02,ORD-1007,meta_newsfeed,GADG-030,Gadget Max,349.00,298.50,22.00,28.50,USD
2026-06-03,ORD-1008,google_shopping,GADG-010,Gadget Pro,129.99,110.49,12.50,7.00,USD
2026-06-03,ORD-1009,wholesale,WIDG-001,Widget Small 4in,1350.00,1215.00,75.00,60.00,USD
2026-06-03,ORD-1010,organic,GADG-020,Gadget Lite,199.99,172.99,15.00,12.00,USD
2026-06-03,ORD-1011,direct,SPRK-005,Spark Plug Set,78.50,65.30,8.00,5.20,USD
2026-06-04,ORD-1012,meta_newsfeed,WIDG-002,Widget Large 8in,89.50,72.15,9.00,8.35,USD
2026-06-04,ORD-1013,google_shopping,GADG-030,Gadget Max,349.00,298.50,22.00,28.50,USD
2026-06-04,ORD-1014,email,WIDG-001,Widget Small 4in,45.00,37.25,5.00,2.75,USD
2026-06-05,ORD-1015,google_shopping,GADG-010,Gadget Pro,129.99,108.15,12.50,9.34,USD
2026-06-05,ORD-1016,organic,SPRK-005,Spark Plug Set,78.50,65.30,8.00,5.20,USD
2026-06-05,ORD-1017,meta_newsfeed,GADG-020,Gadget Lite,199.99,169.99,15.00,15.00,USD
2026-06-05,ORD-1018,direct,WIDG-002,Widget Large 8in,89.50,74.15,9.00,6.35,USD
2026-06-06,ORD-1019,google_shopping,WIDG-001,Widget Small 4in,45.00,36.25,5.00,3.75,USD
2026-06-06,ORD-1020,email,GADG-030,Gadget Max,349.00,301.50,22.00,25.50,USD
2026-06-06,ORD-1021,wholesale,GADG-010,Gadget Pro,2599.80,2339.82,150.00,109.98,USD
2026-06-07,ORD-1022,meta_newsfeed,SPRK-005,Spark Plug Set,78.50,62.80,8.00,7.70,USD
2026-06-07,ORD-1023,organic,WIDG-002,Widget Large 8in,89.50,74.15,9.00,6.35,USD
2026-06-07,ORD-1024,google_shopping,GADG-020,Gadget Lite,199.99,169.99,15.00,15.00,USD
2026-06-08,ORD-1025,google_shopping,GADG-010,Gadget Pro,129.99,108.15,12.50,9.34,USD
2026-06-08,ORD-1026,direct,WIDG-001,Widget Small 4in,45.00,37.25,5.00,2.75,USD
2026-06-08,ORD-1027,meta_newsfeed,GADG-030,Gadget Max,349.00,295.50,22.00,31.50,USD
2026-06-08,ORD-1028,email,SPRK-005,Spark Plug Set,78.50,65.30,8.00,5.20,USD
2026-06-09,ORD-1029,google_shopping,WIDG-002,Widget Large 8in,89.50,72.15,9.00,8.35,USD
2026-06-09,ORD-1030,organic,GADG-010,Gadget Pro,129.99,112.49,12.50,5.00,USD
2026-06-09,ORD-1031,wholesale,SPRK-005,Spark Plug Set,1570.00,1413.00,80.00,77.00,USD
2026-06-10,ORD-1032,meta_newsfeed,WIDG-001,Widget Small 4in,45.00,36.25,5.00,3.75,USD
2026-06-10,ORD-1033,google_shopping,GADG-020,Gadget Lite,199.99,169.99,15.00,15.00,USD
2026-06-10,ORD-1034,direct,GADG-030,Gadget Max,349.00,301.50,22.00,25.50,USD
2026-06-11,ORD-1035,google_shopping,SPRK-005,Spark Plug Set,78.50,62.80,8.00,7.70,USD
2026-06-11,ORD-1036,email,WIDG-002,Widget Large 8in,89.50,74.15,9.00,6.35,USD
2026-06-11,ORD-1037,organic,GADG-030,Gadget Max,349.00,304.50,22.00,22.50,USD
2026-06-12,ORD-1038,meta_newsfeed,GADG-010,Gadget Pro,129.99,108.15,12.50,9.34,USD
2026-06-12,ORD-1039,google_shopping,WIDG-001,Widget Small 4in,45.00,36.25,5.00,3.75,USD
2026-06-12,ORD-1040,direct,SPRK-005,Spark Plug Set,78.50,65.30,8.00,5.20,USD
2026-06-13,ORD-1041,google_shopping,GADG-030,Gadget Max,349.00,295.50,22.00,31.50,USD
2026-06-13,ORD-1042,wholesale,WIDG-002,Widget Large 8in,1790.00,1611.00,90.00,89.00,USD
2026-06-13,ORD-1043,email,GADG-010,Gadget Pro,129.99,112.49,12.50,5.00,USD
2026-06-14,ORD-1044,meta_newsfeed,WIDG-002,Widget Large 8in,89.50,72.15,9.00,8.35,USD
2026-06-14,ORD-1045,organic,GADG-020,Gadget Lite,199.99,172.99,15.00,12.00,USD
2026-06-14,ORD-1046,google_shopping,SPRK-005,Spark Plug Set,78.50,62.80,8.00,7.70,USD
2026-06-15,ORD-1047,google_shopping,WIDG-001,Widget Small 4in,45.00,36.25,5.00,3.75,USD
2026-06-15,ORD-1048,meta_newsfeed,GADG-010,Gadget Pro,129.99,108.15,12.50,9.34,USD
2026-06-15,ORD-1049,direct,GADG-030,Gadget Max,349.00,298.50,22.00,28.50,USD
2026-06-16,ORD-1050,google_shopping,GADG-020,Gadget Lite,199.99,169.99,15.00,15.00,USD
2026-06-16,ORD-1051,email,SPRK-005,Spark Plug Set,78.50,65.30,8.00,5.20,USD
2026-06-16,ORD-1052,organic,WIDG-001,Widget Small 4in,45.00,37.25,5.00,2.75,USD
2026-06-17,ORD-1053,meta_newsfeed,GADG-030,Gadget Max,349.00,295.50,22.00,31.50,USD
2026-06-17,ORD-1054,google_shopping,WIDG-002,Widget Large 8in,89.50,72.15,9.00,8.35,USD
2026-06-17,ORD-1055,direct,GADG-010,Gadget Pro,129.99,112.49,12.50,5.00,USD
2026-06-18,ORD-1056,google_shopping,SPRK-005,Spark Plug Set,78.50,62.80,8.00,7.70,USD
2026-06-18,ORD-1057,wholesale,GADG-030,Gadget Max,5235.00,4711.50,275.00,248.50,USD
2026-06-18,ORD-1058,email,WIDG-001,Widget Small 4in,45.00,37.25,5.00,2.75,USD
2026-06-19,ORD-1059,meta_newsfeed,GADG-020,Gadget Lite,199.99,169.99,15.00,15.00,USD
2026-06-19,ORD-1060,organic,SPRK-005,Spark Plug Set,78.50,65.30,8.00,5.20,USD
2026-06-19,ORD-1061,google_shopping,WIDG-001,Widget Small 4in,45.00,36.25,5.00,3.75,USD
2026-06-20,ORD-1062,google_shopping,GADG-010,Gadget Pro,129.99,108.15,12.50,9.34,USD
2026-06-20,ORD-1063,direct,WIDG-002,Widget Large 8in,89.50,74.15,9.00,6.35,USD
2026-06-20,ORD-1064,meta_newsfeed,GADG-030,Gadget Max,349.00,298.50,22.00,28.50,USD
2026-06-21,ORD-1065,google_shopping,GADG-020,Gadget Lite,199.99,169.99,15.00,15.00,USD
2026-06-21,ORD-1066,email,SPRK-005,Spark Plug Set,78.50,65.30,8.00,5.20,USD
2026-06-21,ORD-1067,organic,GADG-010,Gadget Pro,129.99,112.49,12.50,5.00,USD
2026-06-21,ORD-1068,wholesale,WIDG-002,Widget Large 8in,895.00,805.50,45.00,44.50,USD
2026-06-22,ORD-1069,meta_newsfeed,WIDG-001,Widget Small 4in,45.00,36.25,5.00,3.75,USD
2026-06-22,ORD-1070,google_shopping,GADG-030,Gadget Max,349.00,295.50,22.00,31.50,USD
2026-06-22,ORD-1071,direct,SPRK-005,Spark Plug Set,78.50,65.30,8.00,5.20,USD
2026-06-23,ORD-1072,google_shopping,WIDG-002,Widget Large 8in,89.50,72.15,9.00,8.35,USD
2026-06-23,ORD-1073,organic,GADG-020,Gadget Lite,199.99,172.99,15.00,12.00,USD
2026-06-23,ORD-1074,meta_newsfeed,GADG-010,Gadget Pro,129.99,108.15,12.50,9.34,USD
2026-06-24,ORD-1075,google_shopping,SPRK-005,Spark Plug Set,78.50,62.80,8.00,7.70,USD
2026-06-24,ORD-1076,email,WIDG-001,Widget Small 4in,45.00,37.25,5.00,2.75,USD
2026-06-24,ORD-1077,direct,GADG-030,Gadget Max,349.00,301.50,22.00,25.50,USD
2026-06-25,ORD-1078,meta_newsfeed,WIDG-002,Widget Large 8in,89.50,72.15,9.00,8.35,USD
2026-06-25,ORD-1079,google_shopping,GADG-010,Gadget Pro,129.99,108.15,12.50,9.34,USD
2026-06-25,ORD-1080,organic,SPRK-005,Spark Plug Set,78.50,65.30,8.00,5.20,USD
2026-06-26,ORD-1081,google_shopping,GADG-020,Gadget Lite,199.99,169.99,15.00,15.00,USD
2026-06-26,ORD-1082,wholesale,GADG-010,Gadget Pro,2599.80,2339.82,150.00,109.98,USD
2026-06-26,ORD-1083,email,WIDG-002,Widget Large 8in,89.50,74.15,9.00,6.35,USD
2026-06-27,ORD-1084,meta_newsfeed,GADG-030,Gadget Max,349.00,295.50,22.00,31.50,USD
2026-06-27,ORD-1085,google_shopping,WIDG-001,Widget Small 4in,45.00,36.25,5.00,3.75,USD
2026-06-27,ORD-1086,direct,GADG-010,Gadget Pro,129.99,112.49,12.50,5.00,USD
2026-06-27,ORD-1087,organic,GADG-020,Gadget Lite,199.99,169.99,15.00,15.00,USD
2026-06-28,ORD-1088,google_shopping,SPRK-005,Spark Plug Set,78.50,62.80,8.00,7.70,USD
2026-06-28,ORD-1089,email,GADG-030,Gadget Max,349.00,304.50,22.00,22.50,USD
2026-06-28,ORD-1090,meta_newsfeed,WIDG-001,Widget Small 4in,45.00,36.25,5.00,3.75,USD
2026-06-29,ORD-1091,google_shopping,GADG-010,Gadget Pro,129.99,108.15,12.50,9.34,USD
2026-06-29,ORD-1092,direct,WIDG-002,Widget Large 8in,89.50,74.15,9.00,6.35,USD
2026-06-29,ORD-1093,organic,GADG-030,Gadget Max,349.00,304.50,22.00,22.50,USD
2026-06-29,ORD-1094,wholesale,SPRK-005,Spark Plug Set,785.00,706.50,40.00,38.50,USD
2026-06-30,ORD-1095,meta_newsfeed,GADG-020,Gadget Lite,199.99,169.99,15.00,15.00,USD
2026-06-30,ORD-1096,google_shopping,WIDG-001,Widget Small 4in,45.00,36.25,5.00,3.75,USD
2026-06-30,ORD-1097,email,GADG-010,Gadget Pro,129.99,112.49,12.50,5.00,USD
2026-06-30,ORD-1098,organic,SPRK-005,Spark Plug Set,78.50,65.30,8.00,5.20,USD
