campaign_id,campaign_name,channel,start_date,end_date,impressions,reach,clicks,ctr,conversions,conversion_rate,revenue,ad_spend,roas,cost_per_conv,opens,bounces,unsubscribes
EM-2026-001,Q1 Welcome Flow,email,2026-01-05,2026-01-19,45000,38500,3200,7.11,420,13.12,29400,3200,9.19,7.62,12500,450,210
EM-2026-002,Q1 Weekly Newsletter #1,email,2026-01-12,2026-01-12,38500,35500,1850,4.81,95,5.14,5700,1200,4.75,12.63,9800,380,185
EM-2026-003,Q1 Promo Blast — Spring Sale,email,2026-02-01,2026-02-03,42000,37800,4100,9.76,310,7.56,24800,4800,5.17,15.48,15200,420,340
EM-2026-004,Cart Abandonment Recovery Q1,email,2026-02-10,2026-03-10,28500,22100,5200,18.25,680,13.08,47600,6400,7.44,9.41,8900,280,95
EM-2026-005,Q2 Welcome Flow — v2,email,2026-04-01,2026-04-15,52000,44800,3800,7.31,490,12.89,34300,3600,9.53,7.35,14800,520,180
EM-2026-006,Q2 Weekly Newsletter #4,email,2026-04-14,2026-04-14,41000,38000,1650,4.02,78,4.73,4680,1100,4.25,14.10,10200,410,260
SOC-2026-001,FB Q1 Brand Awareness,social,2026-01-08,2026-03-31,890000,520000,12400,1.39,340,2.74,23800,18500,1.29,54.41,,,
SOC-2026-002,IG Q1 Product Launches,social,2026-01-15,2026-03-31,450000,285000,8900,1.98,210,2.36,16800,12200,1.38,58.10,,,
SOC-2026-003,FB Q2 Retargeting,social,2026-04-01,2026-06-30,620000,185000,15200,2.45,580,3.82,58000,22000,2.64,37.93,,,
SOC-2026-004,IG Q2 Stories Campaign,social,2026-04-01,2026-06-30,340000,210000,6100,1.79,145,2.38,13050,9800,1.33,67.59,,,
SRCH-2026-001,Google Brand Search Q1,search,2026-01-08,2026-03-31,245000,185000,9800,4.00,420,4.29,46200,8400,5.50,20.00,,,
SRCH-2026-002,Google Non-Brand Q1,search,2026-01-08,2026-03-31,180000,142000,4200,2.33,165,3.93,18150,6800,2.67,41.21,,,
SRCH-2026-003,Google Brand Search Q2,search,2026-04-01,2026-06-30,268000,198000,11200,4.18,490,4.38,58800,9200,6.39,18.78,,,
SRCH-2026-004,Google Non-Brand Q2,search,2026-04-01,2026-06-30,195000,150000,4800,2.46,195,4.06,21450,7200,2.98,36.92,,,
DISP-2026-001,Display Retargeting Q1,display,2026-01-15,2026-03-31,1200000,280000,7200,0.60,85,1.18,6800,5000,1.36,58.82,,,
DISP-2026-002,Display Prospecting Q1,display,2026-02-01,2026-03-31,850000,620000,3800,0.45,28,0.74,2240,3200,0.70,114.29,,,
DISP-2026-003,Display Retargeting Q2,display,2026-04-01,2026-06-30,1350000,310000,8100,0.60,92,1.14,8280,5200,1.59,56.52,,,
DISP-2026-004,Display Prospecting Q2,display,2026-04-01,2026-06-30,920000,680000,4100,0.45,32,0.78,2560,3500,0.73,109.38,,,
AFF-2026-001,Partner Network Q1,affiliate,2026-01-08,2026-03-31,,,5400,,280,5.19,36400,8400,4.33,30.00,,,
AFF-2026-002,Partner Network Q2,affiliate,2026-04-01,2026-06-30,,,6200,,310,5.00,40300,9600,4.20,30.97,,,
